RefID,Make,Model,Year,City mileage,Highway mileage,Minimum Price,Maximum Price
128,Ford,Taurus,2001,18,26,"3,400","4,525"
129,Chevrolet,Cavalier,1998,22,32,"2,275","4,100"
130,Ford,Explorer,1994,16,16,"2,450","2,575"
131,Mercury,Mariner,2006,19,23,"10,050","10,400"
132,Chevrolet,Cavalier,2001,21,28,"3,025","5,675"
133,Volkswagen,Rabbit,2009,20,29,"11,400","14,450"
134,Kia,Spectra,2009,23,30,"10,050","13,550"
135,Honda,Civic,1998,30,35,"1,925","3,475"
136,,,,,,,
137,Ford,Focus,2011,25,34,"12,400","14,950"
138,Toyota,Celica GT,1991,,,,
139,Kia,Spectra,2003,22,30,"3,400","4,375"
140,Hyundai,i20,2009,,,,
141,Honda,CRV,2000,,,,
142,Ford,Focus,2003,21,25,"4,350","6,350"
143,Mitsubishi,Lancer,2002,24,30,"4,475","4,750"
144,Volkswagen,Golf,1999,24,31,"2,625","4,125"
145,Honda,Civic,1998,30,35,"1,925","3,475"
146,Mazda,626,2002,20,26,"4,600","6,225"
147,Ford,Explorer,2004,15,19,"5,725","8,700"
148,Ford,Aspire,1995,36,42,"2,075","2,325"
149,Saturn,SL,1999,29,40,"11,295",
150,Mitsubishi,Diamante,2000,17,25,"3,300","4,025"
151,Oldsmobile,Alero,2001,21,29,"3,200","4,325"
152,Mitsubishi,Eclipse,2001,20,27,"17,987","18,797"
153,Dodge,Caravan,2006,19,26,"5,025","6,750"
154,BMW,Z4,2003,20,28,"13,300","14,450"
155,Toyota,Corolla,1999,31,38,"3,450","4,000"
156,Ford,F150,1999,13,16,"3,175","8,275"
157,Pontiac,Sunfire,1997,22,32,"2,225","3,675"
158,Nissan,Altima,2006,20,27,"8,325","13,500"
159,Honda,CRV,2008,,,,
160,,,,,,,
161,Ford,Escape,2007,19,23,"8,025","12,900"
162,Volkswagen,Golf,1989,,,,
163,Saturn,Coupe,2000,,,,
164,Pontiac,Grand Prix,1992,,,,
165,Nissan,Quest,2000,17,24,"4,600","6,275"
166,,,,,,,
167,Mercedes,SLK 280,2006,,,,
168,Chevrolet,Cavalier,1996,22,32,"2,125","3,075"
169,Jeep,Cherokee,1996,15,19,"3,150","3,750"
170,Infiniti,I30,1997,,,"3,475",
171,Mitsubishi,Eclipse,1993,20,25,"2,625","4,225"
172,,,,,,,
173,Ford,Taurus,2003,19,26,"4,175","5,550"
174,Buick,Regal,2004,20,30,"6,350","7,625"
175,Chevrolet,Cavalier,2003,24,32,"3,625","4,550"
176,Jeep,Grand Cherokee,1998,,,,
177,Jeep,Liberty,2004,16,21,"7,450","8,350"
178,Mercury,Sable,1995,20,30,"2,425","2,975"
179,Saturn,Vue,2005,19,25,"6,825","9,875"
180,Toyota,Corolla,2009,22,30,"11,750","15,350"
181,Ford,Thunderbird LX,1987,,,,
182,Toyota,Camry,2001,20,27,"4,700","5,225"
183,,,,,,,
184,Ford,Edge,2010,17,23,"16,550","24,800"
185,Nissan,Altima,1999,24,31,"3,350","4,575"
186,Honda,CRV,2008,,,,
187,Saturn,Station Wagon,1990,,,,
188,Dodge,Caliber,2008,19,24,"9,725","14,000"
189,Honda,Accord,2000,20,28,"3,450","5,200"
190,,,,,,,
191,Toyota,Camry,2010,19,28,"14,400","17,950"
192,GMC,Vandura,1997,12161419,15211919,"215,020,751,950","235,022,252,175"
193,Honda,Civic,2010,21,29,"11,050","19,200"
194,Mitsubishi,Outlander,2004,20,26,"7,425","8,325"
195,Honda,Civic,2006,23,32,"8,550","12,500"
196,Kia,Optima,2006,22,30,"6,800","9,250"
197,Honda,Pilot,2004,17,22,"8,700","11,650"
198,Mazda,3 Sport,2010,,,,
199,Honda,Civic,2007,23,32,"9,075","15,300"
200,Toyota,Prius,2007,60,51,"12,000","14,600"
201,Toyota,Corolla,1994,27,34,"2,875","3,350"
202,Mitsubishi,Galant,2005,19,27,"6,650","10,050"
203,Buick,Century,2005,20,30,"7,025","22,040"
204,Ford,Fusion,2007,19,26,"9,050","11,500"
205,,,,,,,
206,Pontiac,Sunfire,2002,23,32,"4,075","4,700"
207,BMW,740il,2000,,,,
208,Ford,Mustang,1995,17,25,"5,025","9,650"
209,,,,,,,
210,Honda,CRV,2000,,,,
211,Ford,Fusion,2009,17,25,"12,000","15,450"
212,Dodge,Dart,1965,,,,
213,Hyundai,Elantra,2000,23,32,"2,825","3,175"
214,Toyota,Corolla,1999,31,38,"3,450","4,000"
215,Lexus,ES330,2004,,,,
216,Mazda,RX-8,2004,18,24,"6,825","23,500"
217,Buick,LeSabre,1999,19,30,"3,200","4,125"
218,Honda,Pilot,2006,17,22,"11,700","15,300"
219,Dodge,Ram 1500,1998,,,,
220,Chevrolet,Cavalier,1997,22,32,"2,250","3,200"
221,Honda,Pilot,2007,17,22,"14,200","17,450"
222,Ford,Explorer,2007,14,20,"12,450","17,050"
223,Chrysler,Town & Country,2001,,,,
224,Ford,F150,1999,13,16,"3,175","8,275"
225,Chevrolet,Avalanche,2008,12,17,"23,400","27,400"
226,Mercury,Grand Marquis,2002,,,,
227,Mitsubishi,Outlander,2004,20,26,"7,425","8,325"
228,Audi,Q5,2011,18,23,"31,000","37,300"
229,Ford,Escape,2002,18,23,"3,100","5,425"
230,Honda,Civic,2001,30,38,"3,900","5,425"
231,Honda,Civic VP,2004,,,,
232,Ford,Explorer,2005,14,18,"7,125","10,550"
233,,,,,,,
234,Pontiac,Grand Prix,2007,,,,
235,Nissan,Altima,1996,24,30,"1,925","3,000"
236,Ford,Crown Victoria,1996,,,,
237,Honda,Accord,2004,20,30,"7,300","10,900"
238,Honda,Accord,2000,20,28,"3,450","5,200"
239,Pontiac,Sunfire,1998,22,32,"2,325","4,025"
240,Mazda,CX7,2009,,,,
241,Acura,CL,2001,19,29,"5,325","6,250"
242,Subaru,Impreza,2000,21,28,"3,050","4,800"
243,Chevrolet,Impala LS,2002,,,,
244,Toyota,Corolla,2007,30,38,"9,675","10,450"
245,Toyota,Prius,2010,51,48,"16,100","22,795"
246,Toyota,Celica,1992,20,20,"13,918","16,378"
247,Toyota,Camry,1998,19,27,"3,150","3,675"
248,Ford,Taurus,2004,18,25,"4,900","6,425"
249,Hyundai,Elantra,2003,24,33,"4,825","5,375"
250,Honda,CRV,2009,,,,
251,,,,,,,
252,Mitsubishi,Lancer,2009,17,25,,
253,Chevrolet,Cavalier,1999,22,29,"2,225","4,625"
254,Dodge,Caravan,1997,17,23,"2,650","4,050"
255,Ford,F150,1997,13,17,"2,925","6,675"
256,Ford,Taurus,1997,17,25,"2,425","4,550"
257,Nissan,Altima,2000,21,28,"3,975","5,175"
258,Hyundai,Tiburon,2009,1.61818E+17,2.42626E+17,"8,450,702,558,504,900,000,000,000,000,000,000,000,000","117,501,010,081,756,000,000,000,000,000,000,000,000,000"
259,Chevrolet,Cobalt,2006,23,29,"6,825","10,050"
260,Chrysler,Plymouth,2004,,,,
261,Nissan,Sentra,2002,22,28,"4,425","5,775"
262,Dodge,Stratus,2001,19,27,"1,900","4,375"
263,Ford,Taurus,1997,17,25,"2,425","4,550"
264,Ford,Ranger,1999,15,19,"3,500","6,050"
265,Acura,TL,2003,19,29,"6,600","7,325"
266,Toyota,Prius,2007,60,51,"12,000","14,600"
267,Pontiac,Montana,2000,19,26,"4,175","4,750"
268,Honda,Element,2010,19,24,"17,900","21,200"
269,Lexus,ES300,2000,,,,
270,Honda,Civic,2006,23,32,"8,550","12,500"
271,Nissan,Pathfinder,2003,15,19,"4,900","6,100"
272,Nissan,Frontier,2002,15,18,"6,775","9,800"
273,,,,,,,
274,,,,,,,
275,Honda,Accord,2004,20,30,"7,300","10,900"
276,Toyota,Camry,2000,19,27,"3,800","4,275"
277,Pontiac,Grand Prix,2000,,,,
278,Dodge,Caliber,2007,23,26,"8,400","11,200"
279,Honda,Accord,1996,19,25,"2,525","3,750"
280,Jeep,Grand Cherokee,2006,,,,
281,Toyota,Camry,2005,20,28,"9,200","12,300"
282,Plymouth,Breeze,1998,,,"2,900",
283,Mini,Cooper S,2003,,,,
284,Chrysler,P.T. Cruiser,2005,,,,
285,Honda,Civic,2007,23,32,"9,075","15,300"
286,Toyota,Camry,2006,20,28,"10,600","15,850"
287,Volkswagen,GTI,2001,20,28,"3,825","4,750"
288,Toyota,Sienna,2001,19,25,"3,350","4,650"
289,Ford,Expedition,2003,13,17,"6,275","8,650"
290,Honda,Odyssey,2007,18,25,"11,000","19,000"
291,Mazda,CX9,2007,,,,
292,Toyota,Sienna,2007,18,23,"12,750","19,400"
293,Toyota,Land Cruiser,1995,,,,
294,Ford,Ranger,1999,15,19,"3,500","6,050"
295,Honda,Civic,1996,30,36,"1,650","2,750"
296,Mazda,CX7,2007,,,,
297,Toyota,Echo,2000,,,"3,350","3,700"
298,Toyota,Corolla,2003,29,38,"6,750","7,375"
299,,,,,,,
300,Toyota,Corolla,2006,26,34,"8,650","10,350"
301,Volkswagen,Jetta,2001,19,26,"16,700","16,700"
302,Toyota,Camry,2006,20,28,"10,600","15,850"
303,Toyota,Sienna,1999,18,24,"2,125","3,200"
304,Honda,Civic,2006,23,32,"8,550","12,500"
305,Ford,Focus,2001,25,31,"4,500","5,725"
306,Audi,A4,1998,18,29,"2,875","3,100"
307,Ford,Explorer,2004,15,19,"5,725","8,700"
308,Toyota,Camry,1992,12,12,"14,798","16,898"
309,Jeep,Wrangler,1998,15,17,"4,650","6,000"
310,Kia,Sephia,2001,21,29,"2,600","3,075"
311,Toyota,Corolla,1997,29,34,"3,225","3,575"
312,Hyundai,Sonata,2006,20,30,"8,575","9,800"
313,Honda,Accord,2009,17,25,"13,800","17,250"
314,Lincoln,MKX,2010,15,22,"25,200","63,215"
315,Toyota,Corolla,1996,29,34,"3,150","3,825"
316,,,,,,,
317,Subaru,Forester,2005,19,23,"8,675","12,500"
318,Toyota,Corolla,1999,31,38,"3,450","4,000"
319,Ford,Mustang,2002,17,24,"6,050","8,800"
