RefID,Make,Model,Year,City mileage,Highway mileage,Minimum Price Bluebook,Maximum Price Bluebook,Mean Price New
1,Chevrolet,Venture,2004,18,24,"6,175","7,775",27115
2,Saab,9-3',2005,,,,,
3,Ford,Crown Victoria,2007,,,,,
4,Honda,Civic,2002,26,30,"4,175","6,925",15246
5,Toyota,4Runner,2005,16,19,"14,400","16,650",32172
6,Toyota,,2006,,,,,
7,Mercury,Mountaineer,2000,,,"4,100",,29048
8,Subaru,Forester,2010,19,24,"17,450","22,100",24815
9,Ford,Escape,2010,18,23,"13,050","19,400",24438
10,Toyota,Prius,2010,51,48,"16,100","22,795",24534
11,Honda,CRV,2009,,,,,
12,Chevrolet,Silverado,2000,,,,,
13,Hyundai,Sonata,2011,22,33,"15,650","19,100",24403
14,Ford,Fiesta,2011,28,37,"11,100","13,800",15460
15,Nissan,Murano,2006,19,24,"11,050","14,800",29680
16,,,,,,,,
17,Audi,A6,2006,17,23,"18,500","43,200",86136
18,Subaru,Legacy,1990,,,,,
19,Chevrolet,Blazer,1998,,,"2,600","3,300",23469
20,Toyota,Camry,2009,19,28,"13,800","17,200",23647
21,Mercedes,C230,2003,,,,,
22,BMW,135i,2008,,,,,
23,,,,,,,,
24,Saturn,Ion,2005,23,29,"5,475","9,525",15701
25,Ford,Taurus,1990,,,,,
26,Toyota,RAV4,2008,19,25,"14,500","17,350",24454
27,Honda,Civic,2005,26,31,"7,325","10,100",16040
28,Buick,Century,2003,20,29,"5,350","21,235",21235
29,Chevrolet,Cobalt,2004,,,,,
30,Ford,F150,2002,13,17,"12,100","35,800",29930
31,Chevrolet,,1993,,,,,
32,Toyota,Corolla,2011,26,34,"13,400","15,350",17090
33,Chevrolet,Malibu Classic,2003,,,,,
34,Honda,Pilot,2005,17,22,"10,050","12,800",29996
35,Chevrolet,Cobalt,2007,22,30,"7,500","10,550",16373
36,Mercedes,,2008,,,,,
37,Toyota,Corolla,2000,31,38,"3,425","4,250",13531
38,Buick,LeSabre,2005,20,29,"6,900","7,975",29555
39,Jeep,Liberty,2005,17,22,"8,625","9,750",22608
40,Ford,Taurus,1997,17,25,"2,425","4,550",21358
41,Pontiac,Grand Am,2001,,,,,
42,Toyota,Corolla,2010,22,30,"12,300","15,750",17106
43,Jeep,Cherokee,2000,16,20,"5,325","7,600",20237
44,Honda,Accord,1997,19,25,"2,825","4,275",19896
45,Hyundai,Elantra,2009,24,33,,,15570
46,Jeep,Grand Cherokee,1996,,,,,
47,Honda,Accord,2007,20,29,"10,400","16,750",23761
